id	product_type	quantity	price	upc	title	description	link	image_link	condition	weight
2812	other		1900	ALT-0160	Комод с 4-мя выдвижными ящиками ""Азалия"" [M1903]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2812	http://korzin.net/images/product/29/ALT_M1903_BIG.jpg	New	
2813	other		1900	ALT-0161	Комод с 4-мя выдвижными ящиками ""Медвежата"" [M1902]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2813		New	
2813	other		1900	ALT-0161	Комод с 4-мя выдвижными ящиками ""Медвежата"" [M1902]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2813	http://korzin.net/images/product/29/ALT_M1902_BIG.jpg	New	
2814	other		1900	ALT-0162	Комод с 4-мя выдвижными ящиками ""Круиз"" [M1901]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2814		New	
2814	other		1900	ALT-0162	Комод с 4-мя выдвижными ящиками ""Круиз"" [M1901]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2814	http://korzin.net/images/product/29/ALT_M1901_BIG.jpg	New	
2815	other		1900	ALT-0163	Комод с 4-мя выдвижными ящиками ""Лебеди"" [M1900]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2815		New	
2815	other		1900	ALT-0163	Комод с 4-мя выдвижными ящиками ""Лебеди"" [M1900]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2815	http://korzin.net/images/product/29/ALT_M1900_BIG.jpg	New	
2816	other		1900	ALT-0164	Комод с 4-мя выдвижными ящиками ""Бабочки"" [M1899]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2816		New	
2816	other		1900	ALT-0164	Комод с 4-мя выдвижными ящиками ""Бабочки"" [M1899]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2816	http://korzin.net/images/product/29/ALT_M1899_BIG.jpg	New	
2817	other		1900	ALT-0165	Комод с 4-мя выдвижными ящиками ""Павлины"" [M1898]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2817		New	
2817	other		1900	ALT-0165	Комод с 4-мя выдвижными ящиками ""Павлины"" [M1898]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2817	http://korzin.net/images/product/29/ALT_M1898_BIG.jpg	New	
